#{"t_start": 1767449738.823863, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
85.0,2021,207.060632
165.0,2333,212.948756
75.0,2063,218.332247
390.0,3833,228.407967
160.0,2135,233.929928
130.0,2061,239.265974
190.0,2075,244.653766
280.0,2357,250.815819
225.0,3143,258.991007
110.0,1295,262.384994
265.0,2061,267.676816
270.0,2913,275.022942
55.0,2759,282.092445
340.0,4253,292.842941
315.0,4279,304.060981
125.0,2045,309.332176
185.0,2017,314.553473
105.0,2363,320.554098
170.0,2033,325.780001
190.0,2057,331.058556
315.0,4345,342.118606
405.0,4533,353.425254
435.0,4459,364.583117
245.0,3067,372.188424
175.0,1895,382.966034
430.0,4561,394.520495
440.0,3155,402.330366
210.0,3713,411.413143
390.0,1959,416.198069
55.0,1555,419.960963
50.0,1989,424.872034
175.0,2141,430.123186
130.0,2187,435.585433
110.0,1807,439.982553
210.0,2785,446.8778
250.0,2369,452.708723
165.0,2155,458.230756
225.0,3203,466.160034
105.0,1317,469.340496
580.0,4239,480.034591
95.0,1931,484.832787
130.0,1485,488.398262
150.0,2055,493.489332
160.0,1929,498.299356
115.0,1979,503.215748
135.0,1515,506.958341
215.0,1469,510.649217
120.0,2561,517.56798
280.0,3657,526.700751
105.0,1513,530.350372
345.0,3401,538.74417
145.0,1965,543.536055
200.0,1969,548.407993
115.0,1423,551.9719
230.0,2633,558.466183
505.0,3119,566.163126
195.0,2423,572.704194
235.0,2423,578.979735
635.0,3735,588.580772
220.0,2103,594.091408
265.0,2929,601.554771
225.0,1619,605.659508
340.0,3663,615.345908
125.0,2035,620.548331
155.0,1911,625.438574
80.0,2045,630.613355
465.0,2501,636.811716
105.0,1191,645.827646
45.0,1691,650.056857
210.0,2151,655.495777
515.0,3019,663.239396
165.0,1981,668.249708
265.0,2645,674.902927
195.0,2473,681.010568
220.0,2405,686.985672
120.0,1977,691.928797
545.0,3611,700.986814
160.0,2381,706.898612
565.0,3717,716.235958
75.0,1149,719.158781
360.0,2889,726.551264
105.0,1521,730.463836
180.0,2551,736.94206
310.0,2781,743.931958
285.0,2839,750.989116
340.0,3225,759.038512
120.0,1847,763.824728
325.0,2971,771.701071
210.0,1853,776.70763
385.0,3407,785.522318
240.0,2717,792.63091
360.0,3167,801.075985
195.0,1887,806.071498
95.0,1197,809.08824
225.0,2405,815.10096
320.0,3737,824.437476
180.0,1889,829.121672
75.0,1391,832.646227
50.0,1055,835.186214
455.0,3013,842.655743
320.0,2313,848.59771
145.0,1585,852.711036
200.0,2087,858.249374
160.0,2023,863.758688
75.0,1127,866.679325
160.0,2413,872.749017
260.0,2683,879.827563
100.0,1939,884.671371
465.0,2613,891.148057
180.0,2399,897.039698
195.0,2135,906.370735
130.0,2017,911.308515
185.0,2053,916.210244
220.0,3805,925.568937
115.0,2177,930.90958
220.0,2189,936.17502
240.0,2319,941.825004
70.0,1205,944.724027
130.0,2083,949.804688
345.0,2577,956.094918
150.0,1559,959.827305
460.0,2527,966.015403
50.0,1119,968.702573
250.0,2689,975.289868
240.0,2965,982.67966
335.0,3515,991.321361
235.0,2449,997.395874
225.0,2513,1003.511025
185.0,1945,1008.323877
205.0,1953,1013.109808
225.0,2199,1018.483253
330.0,3135,1026.126421
210.0,2531,1032.305444
235.0,1869,1036.970232
195.0,1973,1041.765119
145.0,2041,1046.766911
180.0,2443,1052.727453
185.0,2549,1059.041458
210.0,2443,1065.193643
185.0,1831,1070.490908
285.0,3429,1079.770551
410.0,2599,1086.425587
140.0,2091,1091.737996
255.0,2705,1098.750489
165.0,2445,1104.992051
260.0,2445,1111.195721
190.0,2061,1116.426937
120.0,1937,1121.421093
110.0,1943,1126.669876
175.0,1775,1131.327061
145.0,1559,1135.465343
320.0,2791,1142.996482
255.0,2553,1149.334684
315.0,2731,1156.045343
230.0,2447,1168.578445
300.0,3269,1176.615855
255.0,2877,1183.766944
195.0,3155,1191.613301
125.0,2023,1196.596611
235.0,2303,1202.214973
250.0,2913,1209.479637
230.0,2525,1215.870638
315.0,3143,1223.601779
280.0,2487,1229.583766
80.0,1099,1232.200447
85.0,1149,1234.974566
105.0,1419,1238.328648
255.0,2053,1243.307524
230.0,2397,1249.060699
495.0,3461,1257.463955
245.0,2549,1263.63137
295.0,2713,1270.159192
300.0,3089,1277.732141
300.0,2995,1285.045406
165.0,1971,1289.825501
140.0,2149,1295.032817
290.0,3223,1302.870208
195.0,2067,1308.024446
160.0,1833,1312.453167
80.0,1117,1315.162461
110.0,1845,1319.60111
235.0,2805,1326.34224
190.0,1995,1331.167901
255.0,2549,1337.874975
135.0,2101,1343.043359
140.0,2031,1347.97664
180.0,1995,1353.058009
290.0,2619,1359.550569
265.0,3189,1367.679109
270.0,2803,1375.21984
400.0,3361,1383.615384
105.0,1301,1386.754889
330.0,3033,1394.206357
210.0,2823,1401.168901
60.0,1471,1404.798812
215.0,1929,1409.534486
225.0,3131,1417.305999
120.0,2571,1431.150269
100.0,1679,1435.198946
310.0,2977,1442.495138
270.0,2723,1449.230646
310.0,3121,1456.847416
285.0,3105,1464.563579
385.0,2909,1471.798802
420.0,2749,1478.620116
255.0,2741,1485.308539
220.0,3111,1492.902179
165.0,1887,1497.589263
485.0,4197,1508.066384
195.0,2815,1515.13354
345.0,3121,1522.899338
30.0,1317,1526.137991
170.0,1929,1530.997682
240.0,2541,1537.21538
145.0,1861,1541.748377
165.0,2561,1548.123063
520.0,3291,1556.333023
185.0,2009,1561.35811
220.0,2633,1567.882112
135.0,2079,1573.06845
305.0,2177,1578.521663
150.0,2031,1583.807421
220.0,2287,1589.807742
220.0,1555,1593.821115
215.0,1895,1598.59586
220.0,2327,1604.41328
155.0,1877,1609.269004
370.0,2767,1616.445966
160.0,1821,1621.166663
130.0,1569,1625.15287
245.0,1973,1630.219198
155.0,2019,1635.477741
195.0,1777,1639.987195
85.0,997,1642.595513
215.0,2775,1649.731983
215.0,2067,1655.08464
245.0,2683,1661.991723
200.0,1929,1666.939923
170.0,1993,1672.129135
300.0,3111,1680.136506
170.0,2147,1693.402564
280.0,2805,1700.757781
370.0,2653,1707.37682
440.0,2305,1713.261509
520.0,3257,1721.978355
190.0,2057,1727.8808
325.0,2675,1735.45022
420.0,3987,1746.887861
265.0,2771,1754.465526
285.0,2585,1761.437092
465.0,5127,1774.895721
470.0,3869,1785.614507
160.0,2073,1791.297728
345.0,3549,1800.712054
340.0,2991,1808.573444
235.0,2131,1814.212729
220.0,2891,1821.822832
50.0,1013,1824.419131
220.0,3217,1832.950471
370.0,2823,1840.372863
305.0,2907,1848.271566
190.0,1975,1853.445693
615.0,4070,1864.272305
235.0,2897,1871.855477
260.0,2547,1878.540153
155.0,2381,1884.93661
960.0,4225,1896.188488
155.0,1973,1901.362117
360.0,1875,1906.324854
220.0,2003,1911.72551
390.0,2061,1917.188527
230.0,2133,1922.883214
195.0,1597,1927.117345
190.0,1907,1932.110906
320.0,3249,1940.755813
305.0,2569,1947.48808
565.0,2937,1955.232126
280.0,2211,1961.050235
60.0,1029,1971.689893
175.0,1859,1976.519593
100.0,1159,1979.539407
440.0,2691,1986.865111
230.0,2241,1992.755268
115.0,1287,1996.087358
185.0,1957,2001.45479
225.0,1925,2006.516118
195.0,2117,2012.08296
245.0,2217,2017.655062
215.0,1527,2021.654453
350.0,2681,2028.721171
310.0,2659,2035.757383
120.0,1521,2039.729261
335.0,2377,2046.006064
155.0,1481,2049.914071
130.0,1049,2052.642188
340.0,2827,2060.298034
140.0,1525,2064.526086
520.0,2663,2071.638442
380.0,3387,2080.678401
510.0,2540,2087.348272
165.0,2521,2094.085825
175.0,1805,2098.778968
290.0,2207,2104.56474
295.0,2413,2110.942492
165.0,2033,2116.281197
515.0,2675,2123.310521
260.0,2477,2129.905352
250.0,2271,2135.86098
240.0,2485,2142.41945
275.0,2153,2148.216069
235.0,2987,2156.105732
275.0,3047,2164.191775
315.0,2529,2170.860929
140.0,1611,2175.088122
190.0,2739,2182.429947
500.0,3601,2192.150281
405.0,2332,2198.356491
220.0,1699,2202.893591
200.0,2155,2208.621185
110.0,1873,2213.475408
325.0,3205,2222.010722
155.0,1491,2225.943095
240.0,1783,2230.575054
245.0,2051,2235.988809
285.0,1917,2247.873957
240.0,2427,2254.322988
205.0,1571,2258.436348
115.0,1317,2261.935474
290.0,2544,2268.772206
160.0,1615,2273.084536
365.0,3139,2282.937136
285.0,2885,2290.774145
840.0,4465,2302.8384
210.0,2173,2308.70595
250.0,2383,2315.089028
110.0,1291,2318.539711
210.0,1633,2322.845642
260.0,2307,2328.921505
170.0,1333,2332.401708
245.0,1645,2336.782461
290.0,3184,2345.30625
215.0,1929,2350.499749
215.0,1963,2355.482417
275.0,2415,2361.828024
170.0,1893,2366.857643
275.0,2349,2373.794702
210.0,1565,2377.977262
330.0,2949,2385.989341
345.0,3207,2394.76746
410.0,3259,2403.235739
160.0,1657,2407.396526
65.0,1081,2410.139668
490.0,2925,2418.088066
215.0,1641,2422.446006
260.0,2570,2429.197435
335.0,2127,2434.728145
205.0,1813,2439.449597
365.0,2475,2445.918823
285.0,2907,2453.491043
125.0,1631,2457.714721
145.0,1421,2461.491763
270.0,2187,2467.1541
200.0,1587,2471.098974
345.0,3131,2479.062252
280.0,3369,2487.909621
340.0,2561,2494.564364
240.0,2233,2500.509648
395.0,3801,2510.877345
215.0,2181,2516.833486
245.0,2693,2530.216761
390.0,2909,2537.960728
205.0,2729,2545.081568
340.0,2485,2551.687898
170.0,1573,2555.818141
315.0,2875,2563.381053
315.0,2883,2570.732623
580.0,3203,2579.187946
150.0,1621,2583.318573
245.0,1845,2588.099227
240.0,2295,2593.96518
355.0,2665,2600.757451
440.0,2899,2608.080335
305.0,2587,2614.735124
340.0,2829,2621.966509
190.0,1821,2627.077009
300.0,3069,2635.48948
190.0,1673,2639.858863
190.0,2389,2645.836488
150.0,2133,2651.258645
525.0,2585,2657.821388
260.0,2345,2663.925161
230.0,2315,2670.075176
110.0,1525,2673.901264
240.0,1987,2678.828616
450.0,3023,2686.52954
470.0,4015,2696.738678
265.0,2469,2703.110783
590.0,2655,2710.092857
345.0,3109,2718.058316
335.0,2411,2724.346596
55.0,1113,2727.312481
185.0,2735,2735.116419
280.0,3043,2743.108665
250.0,2781,2750.406337
175.0,1975,2755.38287
255.0,2285,2761.251253
590.0,3148,2769.59072
295.0,2559,2776.235939
175.0,2279,2782.088595
95.0,2167,2788.132831
330.0,3369,2803.482483
270.0,2163,2809.04622
280.0,2285,2814.806442
295.0,2553,2821.411419
115.0,1531,2825.435342
195.0,1599,2829.524743
140.0,1861,2834.451149
105.0,1595,2838.973919
255.0,2197,2844.731022
200.0,2065,2849.908192
140.0,1955,2854.962911
150.0,1785,2859.610492
160.0,2059,2864.837602
510.0,3933,2875.029452
190.0,1901,2880.737445
220.0,1591,2885.311426
130.0,1383,2888.857834
570.0,3843,2899.001378
340.0,2233,2904.973003
705.0,3803,2914.899578
415.0,2755,2922.182722
245.0,2519,2928.931731
185.0,1851,2933.801743
370.0,2757,2941.197402
300.0,2187,2947.43124
330.0,2369,2954.025484
270.0,2647,2961.374207
275.0,2127,2967.108504
325.0,2355,2973.2368
265.0,2533,2979.988383
350.0,2827,2987.424658
245.0,2305,2993.504304
185.0,2149,2999.111416
350.0,3185,3007.475672
125.0,1761,3012.149256
320.0,3577,3021.664968
505.0,2747,3028.83822
215.0,2879,3036.42706
275.0,3099,3044.539549
375.0,4167,3055.830061
120.0,1073,3058.580223
270.0,2233,3064.471088
315.0,3119,3079.693952
225.0,2879,3087.216189
340.0,2434,3093.864729
220.0,2171,3099.711365
190.0,1843,3104.643126
225.0,3079,3112.718127
195.0,1779,3117.28763
215.0,2177,3122.955739
465.0,3289,3132.083304
555.0,2803,3139.38707
170.0,1485,3143.201512
320.0,2499,3149.69921
225.0,2622,3156.555448
500.0,3997,3167.081835
420.0,3237,3175.509185
95.0,1649,3179.767517
220.0,2055,3185.184005
575.0,4085,3195.821749
310.0,2483,3202.335294
275.0,2303,3208.329388
155.0,1667,3212.596329
480.0,3923,3222.901421
35.0,1059,3225.611265
195.0,1973,3230.715355
85.0,1653,3234.97217
150.0,1893,3239.870563
420.0,3539,3249.203825
155.0,2047,3254.40592
480.0,4199,3265.354234
175.0,2185,3271.152606
455.0,3505,3280.372011
105.0,1121,3283.251334
535.0,2441,3289.601321
700.0,4279,3300.806783
540.0,3395,3309.728275
380.0,3257,3318.330957
120.0,1351,3321.839392
240.0,2709,3329.029377
295.0,2501,3335.586656
215.0,1833,3340.378286
375.0,2535,3353.127043
215.0,2127,3358.658576
135.0,1437,3362.402953
515.0,3383,3371.218855
495.0,2565,3378.067403
585.0,4373,3389.574765
170.0,1997,3394.811637
185.0,2145,3400.622493
470.0,3447,3409.577775
270.0,2249,3415.337733
135.0,1591,3419.386692
170.0,2169,3425.008953
315.0,2815,3432.284688
480.0,3253,3440.591143
495.0,2701,3448.217862
480.0,3615,3458.074993
395.0,3055,3466.372901
310.0,2220,3472.079913
160.0,1727,3476.599359
260.0,3091,3484.757565
410.0,3399,3493.937783
265.0,1939,3499.225429
425.0,2899,3507.188568
410.0,3029,3515.373323
405.0,3489,3524.783593
185.0,1563,3528.933398
180.0,1911,3534.164397
250.0,2611,3541.358126
315.0,3208,3550.019031
190.0,1569,3554.082578
305.0,2257,3560.008158
295.0,3648,3569.686072
235.0,3149,3578.151703
225.0,2393,3584.84075
345.0,3007,3593.247278
100.0,1501,3597.417845
120.0,1487,3601.529913
295.0,2651,3608.679748
140.0,1467,3612.599936
220.0,1811,3617.573031
390.0,2413,3633.255646
340.0,2409,3639.543541
265.0,1977,3644.674303
350.0,3366,3653.39606
315.0,2597,3660.122485
500.0,2977,3667.814419
165.0,2077,3673.176577
230.0,2757,3680.427648
215.0,2833,3687.835648
505.0,3431,3696.716004
155.0,2683,3703.725344
375.0,3696,3713.35524
270.0,2245,3719.259658
220.0,1927,3724.232275
540.0,4557,3736.184287
340.0,2823,3743.601137
335.0,2637,3750.503963
340.0,2541,3757.251128
260.0,2159,3762.878249
265.0,1959,3767.963649
245.0,2411,3774.237798
360.0,3251,3782.673981
325.0,2631,3789.490649
555.0,4057,3800.158901
270.0,1677,3804.534669
370.0,2583,3811.211462
175.0,1853,3815.983393
570.0,4033,3826.497899
195.0,1861,3831.372685
245.0,2449,3837.822035
285.0,2707,3844.88069
260.0,2611,3851.636033
330.0,2475,3858.089077
325.0,2361,3864.269433
800.0,4743,3876.816582
695.0,3825,3886.901869
325.0,2943,3901.272674
345.0,2635,3908.141491
375.0,2897,3915.765277
455.0,3623,3925.303181
295.0,2431,3931.574566
420.0,3069,3939.498906
425.0,2611,3946.097192
525.0,4915,3958.601134
300.0,2445,3964.829859
255.0,2539,3971.300689
135.0,1813,3975.909858
210.0,1913,3980.912426
305.0,2371,3986.899256
440.0,3509,3995.91309
320.0,3143,4003.93607
345.0,2493,4010.422992
405.0,3345,4018.942532
305.0,1861,4023.638665
290.0,2489,4029.925018
545.0,3655,4039.199373
380.0,2911,4046.608327
285.0,2907,4054.145419
390.0,3219,4062.300649
170.0,2113,4067.683604
340.0,3197,4075.804481
215.0,2187,4081.356663
515.0,3051,4089.242763
275.0,2473,4095.542245
350.0,4233,4106.332618
485.0,3401,4115.062279
75.0,1463,4118.808806
455.0,3545,4127.87458
70.0,1403,4131.372249
260.0,2415,4137.474803
260.0,2645,4144.192266
380.0,2675,4151.045288
440.0,3713,4160.690654
345.0,2985,4175.283855
165.0,1877,4180.153302
275.0,2367,4186.183376
415.0,2887,4193.569881
235.0,2251,4199.319099
210.0,2117,4204.6854
175.0,1921,4209.545115
645.0,2936,4217.20469
265.0,2649,4224.996597
415.0,3315,4233.525299
350.0,2897,4241.010284
530.0,4023,4251.448139
300.0,2171,4257.033252
345.0,2585,4263.770454
160.0,2039,4269.00999
230.0,2489,4275.410826
510.0,4041,4285.880891
480.0,3393,4294.700553
150.0,1761,4299.216099
630.0,4241,4310.145808
725.0,3913,4320.229179
440.0,3091,4328.257053
670.0,3395,4337.091528
20.0,1191,4340.12466
55.0,1513,4343.986009
185.0,2413,4350.211908
670.0,3599,4359.581964
245.0,2325,4365.499321
355.0,2951,4373.192467
235.0,1985,4378.342104
340.0,3155,4386.517298
215.0,2233,4392.184794
315.0,3137,4400.274508
225.0,2385,4406.426586
230.0,1975,4411.49919
620.0,3273,4420.010694
240.0,2881,4427.484966
125.0,1501,4431.336101
510.0,4067,4448.630408
385.0,2751,4455.74294
255.0,3341,4464.466293
125.0,1891,4469.42003
215.0,2395,4475.647437
245.0,2725,4482.83015
240.0,2691,4490.249666
575.0,3727,4499.834558
310.0,2729,4506.827
135.0,1531,4510.694278
175.0,1941,4515.683116
485.0,2683,4522.604012
160.0,2671,4529.403915
570.0,2935,4536.843882
885.0,3771,4546.669106
480.0,3871,4556.557252
290.0,2431,4562.675769
605.0,4013,4572.858779
325.0,2647,4579.566918
680.0,3709,4589.113613
460.0,3135,4597.042617
250.0,2163,4602.522755
495.0,3975,4612.683976
270.0,2347,4618.627848
410.0,2493,4624.974821
310.0,2273,4630.717178
775.0,4379,4641.839461
480.0,2885,4649.188111
445.0,3137,4657.351072
580.0,3969,4667.415774
310.0,2417,4673.477231
315.0,2521,4679.929646
575.0,4417,4691.13447
400.0,2851,4698.429113
150.0,1679,4711.105174
440.0,2091,4716.580239
405.0,2953,4724.135618
570.0,4083,4734.588782
415.0,3145,4742.532667
525.0,4199,4753.240304
635.0,3745,4762.820956
345.0,2949,4770.381719
400.0,3204,4778.676264
600.0,4361,4789.997942
570.0,4901,4802.769016
570.0,3685,4812.265145
240.0,2039,4817.384418
265.0,1923,4822.273127
375.0,2767,4829.330446
400.0,2668,4836.271171
385.0,2857,4843.567495
460.0,3535,4852.591427
330.0,2491,4858.913793
645.0,3217,4867.179799
500.0,3097,4875.065497
315.0,2387,4881.109749
305.0,2583,4887.658468
445.0,2817,4894.989933
375.0,2727,4901.994744
1145.0,5183,4915.271816
390.0,2923,4922.675082
395.0,3411,4931.364739
345.0,2823,4938.58635
895.0,5291,4952.307583
380.0,3251,4960.630331
325.0,2615,4967.27436
365.0,3721,4985.210382
235.0,1947,4990.188836
355.0,2639,4996.945846
295.0,2385,5002.999733
375.0,2437,5009.138546
580.0,3557,5018.363917
440.0,2772,5025.420411
425.0,3695,5034.906564
670.0,4833,5047.273447
410.0,3303,5055.79331
575.0,4111,5066.350023
230.0,1907,5071.16397
505.0,4141,5081.973358
375.0,2911,5089.425503
490.0,3507,5098.379749
325.0,3063,5106.140409
430.0,3539,5115.153404
355.0,3215,5123.562806
775.0,3971,5134.468066
380.0,2389,6743.139999
1115.0,7421,6765.169072
475.0,3057,6773.172599
415.0,4113,6784.07352
440.0,3177,6792.379289
320.0,2959,6800.247889
355.0,2941,6807.998577
325.0,2883,6815.587958
600.0,3985,6826.114952
570.0,4398,6838.022103
345.0,2779,6853.333988
555.0,3377,6862.377232
375.0,2769,6869.686483
220.0,2841,6877.329224
330.0,2937,6885.118479
315.0,2503,6891.721254
725.0,4797,6904.525551
445.0,3055,6912.608216
520.0,2887,6920.224254
600.0,3763,6930.547991
535.0,4349,6942.258114
755.0,4651,6954.787351
715.0,4133,6965.721546
335.0,2595,6972.707785
610.0,4331,6984.289018
540.0,4321,6995.874363
575.0,3465,7005.18176
675.0,3665,7014.949566
720.0,3775,7024.900785
615.0,3413,7033.873176
450.0,2993,7041.850641
345.0,2929,7049.710864
515.0,4303,7061.202313
335.0,2755,7068.476086
945.0,3763,7078.418354
440.0,2731,7085.606706
520.0,3219,7094.285
570.0,3995,7104.849641
715.0,4083,7115.775405
225.0,2305,7121.956589
485.0,3717,7141.055614
515.0,3079,7149.190749
230.0,2733,7156.375605
435.0,3553,7165.874855
385.0,2557,7172.827638
375.0,3001,7181.21668
575.0,4060,7192.72159
635.0,4741,7205.70823
350.0,2391,7212.103277
575.0,4301,7223.551563
300.0,3183,7232.095842
450.0,3283,7240.898632
530.0,2923,7248.692381
480.0,3469,7257.859728
600.0,3957,7268.290196
345.0,3047,7276.450537
600.0,4589,7288.629326
370.0,3009,7296.66458
310.0,2455,7303.177
800.0,3709,7313.049268
230.0,1777,7317.748313
370.0,2365,7323.948922
510.0,3161,7332.345561
515.0,3245,7341.017974
1000.0,3939,7351.554323
570.0,3916,7362.003621
315.0,2304,7368.182889
465.0,3635,7377.749476
640.0,3105,7386.239529
545.0,4535,7398.64867
610.0,4323,7420.34347
440.0,4589,7433.077595
765.0,4679,7445.831268
930.0,6637,7464.08077
265.0,2643,7471.362098
525.0,4911,7484.860388
570.0,4264,7496.559289
170.0,1865,7501.710929
500.0,4135,7513.121552
360.0,2791,7520.796385
685.0,3865,7531.44353
600.0,3907,7542.191368
265.0,1943,7547.540059
185.0,1537,7551.626785
605.0,4383,7563.652741
460.0,2859,7571.493914
745.0,5163,7585.784648
745.0,3575,7595.575922
490.0,3425,7604.997326
445.0,3523,7614.614552
340.0,2505,7621.485857
515.0,3735,7631.679636
545.0,3369,7641.51715
285.0,2653,7648.869626
365.0,2199,7655.006676
400.0,3393,7664.523381
340.0,2817,7672.23808
335.0,2387,7678.812778
505.0,3073,7687.336272
395.0,3153,7705.251995
800.0,4021,7716.454447
335.0,2574,7723.542986
575.0,3866,7734.100247
435.0,2997,7742.360862
470.0,2657,7749.640833
410.0,2599,7756.760897
555.0,3821,7767.384048
585.0,3570,7777.255767
600.0,4619,7789.995023
770.0,3886,7800.760183
600.0,4069,7811.869468
735.0,3848,7822.398664
325.0,3129,7831.034764
490.0,3745,7841.450952
860.0,4863,7854.893695
545.0,3572,7864.781987
380.0,3019,7873.083748
525.0,4325,7885.059218
610.0,3609,7895.019794
580.0,3876,7906.735507
680.0,3635,7916.908646
715.0,3755,7927.117682
555.0,4640,7939.787313
485.0,2537,7947.256158
545.0,3646,7957.05722
800.0,3401,7966.070953
545.0,3771,7976.154034
575.0,3819,7996.586321
710.0,4101,8007.672924
690.0,3645,8017.593501
720.0,4298,8029.246453
465.0,3213,8037.780427
400.0,4546,8049.912248
605.0,3817,8060.333153
600.0,3757,8070.516202
390.0,2561,8078.271427
850.0,4295,8090.604774
600.0,4445,8102.752983
725.0,3743,8112.96822
545.0,3919,8123.606199
320.0,2899,8131.839027
460.0,3179,8140.381645
540.0,3762,8150.357943
200.0,2297,8156.422678
605.0,3749,8166.440063
435.0,3323,8175.274758
490.0,3623,8185.510766
780.0,4007,8196.420827
800.0,3885,8206.924071
525.0,4069,8218.024889
680.0,3279,8226.930689
460.0,3895,8237.881823
570.0,4605,8250.428704
475.0,3627,8260.183383
540.0,4191,8280.190907
