#{"t_start": 1767449738.823863, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
195.0,2491,1.791165
155.0,3385,2.559057
110.0,1561,2.885517
25.0,1503,3.260383
135.0,2107,3.693385
210.0,2333,4.227035
40.0,1599,4.562879
80.0,1229,4.83741
110.0,4571,5.830355
50.0,1155,6.115095
90.0,2073,6.553569
55.0,1641,6.932052
135.0,1859,7.330689
125.0,1875,7.757924
555.0,3467,8.505118
80.0,1925,8.954548
110.0,2229,9.44945
105.0,1507,9.793867
115.0,2147,10.247701
105.0,1905,10.700961
610.0,3533,11.501008
80.0,1419,11.795492
105.0,2017,12.262393
225.0,2521,12.808298
530.0,3298,13.595233
110.0,1639,13.942098
105.0,2053,14.436644
60.0,2043,14.889058
105.0,1599,15.273465
80.0,1523,15.597226
65.0,1481,15.93033
75.0,1795,16.330968
150.0,1997,16.756381
180.0,1921,17.20995
185.0,2269,17.713608
180.0,2195,18.21282
210.0,2373,18.746804
230.0,2951,19.370644
100.0,1149,19.651131
150.0,2545,20.210976
125.0,2003,20.68037
45.0,1127,20.932348
135.0,2007,21.371433
105.0,2021,21.824872
100.0,1851,22.211679
30.0,1275,22.526382
305.0,2934,23.134529
105.0,2067,23.598834
210.0,2519,28.747302
135.0,2225,29.241079
90.0,1801,29.660593
170.0,2515,30.217642
155.0,1991,30.688648
105.0,1947,31.109958
45.0,1213,31.366355
10.0,1553,31.726025
105.0,1881,32.137025
240.0,2437,32.696193
155.0,2041,33.140974
120.0,2121,33.63087
85.0,1351,33.926823
120.0,1791,34.322396
180.0,1999,34.762567
155.0,1919,35.233442
80.0,1717,35.604437
30.0,1823,35.996517
80.0,1975,36.451145
380.0,2081,36.883522
180.0,2007,37.378426
215.0,2319,37.88689
155.0,2351,38.431984
135.0,2255,38.946567
460.0,2807,39.564533
110.0,1901,40.008236
60.0,1871,40.404852
35.0,1653,40.79163
215.0,2881,41.410361
570.0,2909,42.058885
105.0,2071,42.542621
155.0,2453,43.079763
160.0,1981,43.53929
175.0,2439,44.046238
240.0,2875,44.70071
95.0,1833,45.113914
120.0,2023,45.58092
165.0,2477,46.132047
340.0,3179,46.848266
425.0,3553,47.634187
105.0,2047,48.128102
120.0,2361,48.674691
135.0,1961,49.128156
135.0,1801,49.51526
105.0,1581,49.875048
105.0,2383,50.409213
210.0,2575,51.022063
120.0,2129,51.48972
65.0,1161,56.224057
100.0,1961,56.666455
90.0,1199,56.917504
120.0,1767,57.344419
160.0,3313,58.078755
80.0,1193,58.344887
300.0,3389,59.091675
50.0,1493,59.427667
20.0,1527,59.776334
260.0,2967,60.479834
290.0,2735,61.107031
120.0,1925,61.511438
80.0,1647,61.904475
80.0,2047,62.391438
270.0,3522,63.229758
155.0,1649,63.70718
60.0,1273,64.099666
475.0,3084,64.947232
160.0,2139,65.600771
260.0,2835,66.391858
315.0,3231,67.121489
140.0,2375,67.654383
110.0,2351,68.197098
135.0,1913,68.613221
135.0,2939,69.324013
180.0,1733,69.702507
215.0,2671,70.352008
135.0,1855,70.752072
45.0,1467,71.111236
125.0,2517,71.676831
80.0,1143,71.965333
35.0,1215,72.23064
210.0,2463,72.792497
105.0,1911,73.207461
155.0,2023,73.661911
45.0,1599,74.021587
100.0,1513,74.350731
290.0,3697,75.175214
35.0,1791,75.606402
520.0,2703,76.192193
260.0,2513,76.765848
45.0,1191,77.032287
105.0,1511,77.406693
105.0,1923,77.84638
35.0,1093,78.086323
75.0,1537,78.473988
105.0,1659,78.836149
90.0,1565,79.172419
110.0,2105,79.658898
155.0,1949,85.416091
90.0,1773,85.83848
150.0,1785,86.220975
310.0,2927,86.886381
35.0,1761,87.279671
210.0,2395,87.844479
210.0,2895,88.53072
110.0,1473,88.852093
120.0,2049,89.323468
120.0,1503,89.658483
110.0,2429,90.222991
210.0,2215,90.728207
180.0,2367,91.283957
180.0,2867,91.917252
120.0,2085,92.399092
80.0,1887,92.790476
165.0,2327,93.335075
120.0,2081,93.788749
305.0,2847,94.413629
50.0,1635,94.784323
105.0,1951,95.212251
70.0,1453,95.558416
110.0,1657,95.959564
135.0,2351,96.466587
135.0,2397,97.013333
55.0,1609,97.358744
430.0,4765,98.461534
30.0,1123,98.741972
260.0,2273,99.240124
95.0,1919,99.692992
120.0,2367,100.19977
215.0,2979,100.869052
120.0,1913,101.322845
65.0,1199,101.573589
30.0,1585,101.920457
345.0,2455,102.480621
80.0,2119,102.948791
85.0,1149,103.231679
150.0,1979,103.656695
125.0,1729,104.05637
80.0,1591,104.402434
140.0,1929,104.828174
105.0,1839,105.272359
105.0,1879,105.681963
120.0,1631,106.055223
115.0,1577,106.404786
195.0,2077,106.882181
180.0,2417,107.404201
55.0,1745,107.815858
100.0,2107,108.282896
120.0,2563,119.43786
145.0,2893,126.729484
125.0,1905,131.425548
125.0,1917,136.296383
50.0,2027,141.299042
170.0,3347,149.582144
150.0,3317,157.87568
15.0,1071,160.464118
220.0,2099,165.708055
40.0,1541,169.493512
130.0,2513,175.640079
30.0,1519,179.263169
160.0,2821,186.820998
15.0,1009,189.3253
75.0,1065,192.147435
85.0,1735,197.121421
230.0,1965,202.02024
