#{"t_start": 1767464148.2993596, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
330.0,3769,305.450753
195.0,1957,307.58264
420.0,2685,310.519901
530.0,3721,314.57407
245.0,2299,317.089726
405.0,2583,319.907133
195.0,3781,324.047237
175.0,1721,325.982989
610.0,4741,331.164118
205.0,2731,334.132668
470.0,4065,343.866269
260.0,2323,346.429122
160.0,3179,349.888198
290.0,3313,353.453586
215.0,2809,356.486356
185.0,2889,359.658349
555.0,3649,363.60381
110.0,1449,365.160997
240.0,2997,368.445338
145.0,2511,371.201055
435.0,3375,374.868555
450.0,4201,379.438927
165.0,2071,381.695467
260.0,2925,384.843511
340.0,3475,388.647324
155.0,2393,391.276378
100.0,2035,393.487618
290.0,3237,396.979346
310.0,2061,399.26334
335.0,3489,403.081898
110.0,1537,404.747761
280.0,2747,407.761274
85.0,1157,409.008176
375.0,3175,412.472497
835.0,4857,417.706197
540.0,3651,421.692622
80.0,1187,422.954193
205.0,2257,425.427281
345.0,3529,429.280901
210.0,2461,431.948338
170.0,1829,433.914957
480.0,2561,436.674643
135.0,1951,438.781424
395.0,3893,442.982623
235.0,2405,445.604144
165.0,2523,448.350362
140.0,2523,458.078641
320.0,3233,461.601602
240.0,1929,463.676811
625.0,3319,467.238796
215.0,1907,469.295046
105.0,2175,471.650848
455.0,3003,474.892828
140.0,2823,477.968456
130.0,1999,480.169393
250.0,2403,482.786421
140.0,1993,484.890087
245.0,2505,487.606763
260.0,2435,490.257934
85.0,1151,491.492344
210.0,2597,494.313739
310.0,2739,497.307802
415.0,2381,499.885413
180.0,2007,502.070769
270.0,2491,504.735621
45.0,1739,506.595036
300.0,2733,509.60252
125.0,1217,510.891447
150.0,1861,512.889425
185.0,1931,514.961255
225.0,2587,517.833286
180.0,2417,520.456992
275.0,2623,523.29418
320.0,3523,527.069186
375.0,2793,530.119625
85.0,1187,531.3676
105.0,1165,532.577816
305.0,2747,535.534977
190.0,2133,537.815071
270.0,2679,540.686985
340.0,3565,544.507944
75.0,1115,545.717914
515.0,3516,549.48645
165.0,1643,551.233523
235.0,2201,553.605016
290.0,2287,556.043296
205.0,2051,558.274129
185.0,2015,560.486134
235.0,2469,563.157939
230.0,2579,565.989243
165.0,1955,568.108796
205.0,1921,575.382102
110.0,1459,576.946042
365.0,2807,580.012668
100.0,1491,581.63458
295.0,2499,584.371793
160.0,2043,586.598325
105.0,1897,588.632375
90.0,1527,590.318713
175.0,2023,592.522473
210.0,2073,594.784859
295.0,3211,598.339562
50.0,1051,599.469576
410.0,2421,602.133808
105.0,1529,603.789142
405.0,3459,607.595962
170.0,2323,610.097344
105.0,1735,611.966455
345.0,2775,614.963022
400.0,2559,617.74243
215.0,2155,620.075406
400.0,3287,624.091403
340.0,2899,627.489403
220.0,2117,629.857733
125.0,1901,631.962207
350.0,3559,635.992012
415.0,4213,640.781271
230.0,2853,643.998452
230.0,2041,646.282826
350.0,2815,649.474619
370.0,4153,654.127971
255.0,2783,657.248688
110.0,1909,659.333689
140.0,1559,661.04148
125.0,1637,662.788084
170.0,2041,664.938976
240.0,2427,667.529771
525.0,3841,671.627758
305.0,2971,674.784598
85.0,1063,675.891598
85.0,1153,677.105526
285.0,2875,680.127881
415.0,3307,683.577147
180.0,2221,690.161318
225.0,2539,692.909788
565.0,4727,697.905911
225.0,1651,699.640132
905.0,5087,705.034729
265.0,2555,707.745201
330.0,3049,710.977401
220.0,2651,713.774949
190.0,2329,716.243643
330.0,3569,720.019272
110.0,2087,722.21467
220.0,2183,724.563774
255.0,2947,727.668267
235.0,2415,730.227139
135.0,1927,732.282843
195.0,2247,734.628626
580.0,3257,738.060961
225.0,2147,740.365645
375.0,3171,743.735195
200.0,2427,746.318294
220.0,2411,748.860987
240.0,2713,751.731741
285.0,2187,754.036665
205.0,2077,756.239394
535.0,3219,759.622606
345.0,3279,763.101698
155.0,2111,765.337691
260.0,2119,767.568938
220.0,2045,769.724156
60.0,1143,770.931509
120.0,1599,772.587335
110.0,1991,774.689911
230.0,2103,776.922046
275.0,3405,780.511055
235.0,3075,783.768732
290.0,2259,786.152029
445.0,3129,789.428118
510.0,2913,792.502122
105.0,1137,793.685132
380.0,2709,796.551588
420.0,3067,803.855106
250.0,2385,806.451357
585.0,3787,810.450352
190.0,2707,813.296292
595.0,3861,817.405781
355.0,3617,821.263081
295.0,3139,824.58049
130.0,1839,826.51849
190.0,1969,828.61325
180.0,1957,830.659456
185.0,1423,832.1475
235.0,2699,835.008697
295.0,3937,839.170549
50.0,1299,840.536136
245.0,1909,842.550939
110.0,2027,844.697912
120.0,1845,846.657794
260.0,2677,849.50474
360.0,2625,852.257531
70.0,1955,854.330153
155.0,2011,856.46447
175.0,2081,858.637529
415.0,3777,862.672022
210.0,2025,864.862279
175.0,2063,867.124755
290.0,2311,869.719308
385.0,2269,872.24754
125.0,1633,874.049196
40.0,1345,875.531051
700.0,3745,879.636264
310.0,2637,882.510858
150.0,1991,884.702378
530.0,3711,888.780946
75.0,1095,889.988833
320.0,3467,893.797137
240.0,3067,897.129493
615.0,3339,900.797445
570.0,4211,905.440237
520.0,3291,909.153101
215.0,2507,916.424711
195.0,1913,918.633187
230.0,2027,920.878668
375.0,2647,923.918022
145.0,1473,925.576794
295.0,2744,928.650208
80.0,1591,930.445293
100.0,1821,932.465077
245.0,3139,935.957369
260.0,3005,939.29441
205.0,2129,941.630139
130.0,1955,943.784735
145.0,1913,945.881251
265.0,2273,948.398695
340.0,2045,950.64011
280.0,2753,953.659022
265.0,2979,956.889671
495.0,3559,960.783242
170.0,2085,963.025679
355.0,3141,966.441054
315.0,3053,969.786188
210.0,3103,973.201605
55.0,1139,974.436604
190.0,1621,976.228242
510.0,2709,979.222148
505.0,3095,982.6541
545.0,3925,987.02804
220.0,2089,989.327485
645.0,3441,993.126481
155.0,2067,995.345864
375.0,3737,999.484603
350.0,2959,1002.716423
200.0,1937,1004.828582
585.0,3209,1008.335383
260.0,3085,1011.67742
355.0,3527,1015.51076
335.0,3481,1019.339944
305.0,2607,1022.199711
785.0,3839,1026.415683
365.0,3193,1035.857167
200.0,2177,1038.251344
300.0,2925,1041.497363
150.0,2293,1044.026439
320.0,2755,1047.126861
300.0,2665,1050.05283
410.0,3725,1054.134795
135.0,1855,1056.173283
165.0,1911,1058.289566
75.0,1519,1059.973635
115.0,1883,1062.037683
140.0,2067,1064.306039
285.0,2811,1067.457792
210.0,1995,1069.653507
355.0,2853,1072.830014
555.0,5349,1078.659076
420.0,3405,1082.390251
290.0,3328,1086.080659
90.0,2433,1088.758157
305.0,3391,1092.487764
175.0,1623,1094.233764
310.0,2531,1097.001441
345.0,2931,1100.208086
115.0,1595,1101.945608
415.0,3033,1105.27546
40.0,1499,1106.907234
85.0,1505,1108.54529
210.0,1397,1110.065063
130.0,2391,1112.71474
190.0,1641,1114.5104
105.0,1567,1116.2144
190.0,1883,1118.291541
355.0,3203,1121.811214
155.0,1701,1123.672371
320.0,2503,1126.399022
320.0,2825,1129.52624
145.0,1859,1131.599365
670.0,3783,1135.774439
710.0,4045,1140.222926
125.0,1349,1141.698472
180.0,2807,1144.813165
50.0,1353,1152.062736
195.0,1501,1153.70868
195.0,1515,1155.436677
495.0,3623,1159.472552
95.0,1625,1161.273971
210.0,1537,1162.960366
670.0,4355,1167.846885
110.0,1613,1169.620266
90.0,1405,1171.158988
115.0,1299,1172.579986
335.0,2651,1175.545196
55.0,1095,1176.740192
250.0,2273,1179.239364
180.0,1445,1180.810083
135.0,1487,1182.430747
395.0,4535,1187.522281
290.0,2425,1190.205851
310.0,2949,1193.494216
215.0,2053,1195.740657
330.0,2894,1198.931235
175.0,1453,1200.52529
150.0,1267,1201.916673
290.0,2531,1204.745204
375.0,3335,1208.511847
150.0,1281,1209.937847
175.0,2153,1212.403715
440.0,2885,1215.630395
180.0,2015,1217.889667
195.0,2725,1220.980797
200.0,1947,1223.129145
185.0,1907,1225.248163
280.0,2297,1227.822
365.0,2939,1231.072421
385.0,2923,1234.246959
85.0,1849,1236.203782
350.0,2425,1238.757085
215.0,2221,1241.072319
215.0,1699,1242.837566
330.0,2691,1245.65179
495.0,3953,1249.792794
340.0,2412,1252.321114
525.0,2173,1254.591955
350.0,2743,1257.475155
195.0,1505,1259.030359
480.0,2751,1261.932232
210.0,2005,1268.390553
240.0,2365,1270.958833
200.0,1981,1273.047874
415.0,3407,1276.643094
125.0,1901,1278.624717
170.0,1971,1280.725675
155.0,1433,1282.241455
205.0,3641,1286.142877
260.0,2377,1288.646564
130.0,1681,1290.414293
195.0,1593,1292.087362
160.0,1945,1294.138423
475.0,2713,1296.992574
380.0,3181,1300.359389
170.0,1617,1302.068885
240.0,2189,1304.367434
745.0,4999,1309.606984
80.0,1121,1310.774747
385.0,2955,1313.933788
495.0,2565,1316.663898
320.0,2661,1319.460707
365.0,2555,1322.137382
135.0,2129,1324.37502
450.0,3939,1329.205326
345.0,2817,1332.383429
300.0,2529,1335.088981
365.0,2811,1338.089769
295.0,2309,1340.577634
190.0,2005,1342.715148
205.0,1987,1344.84296
460.0,3399,1348.44708
145.0,1393,1349.934982
120.0,1479,1351.507802
360.0,2361,1354.001305
210.0,1591,1355.722991
410.0,2069,1357.915379
125.0,1689,1359.727899
325.0,2633,1362.578368
485.0,2819,1365.665352
225.0,1885,1367.660389
275.0,2401,1370.219974
335.0,2411,1372.822262
275.0,2543,1375.534572
200.0,1817,1381.394687
290.0,2159,1383.726943
300.0,2725,1386.668004
160.0,1413,1388.163003
220.0,2045,1390.349684
310.0,2235,1392.734126
60.0,1109,1393.895126
45.0,989,1394.951773
685.0,3675,1398.855718
255.0,2483,1401.490307
155.0,1743,1403.327542
