#{"t_start": 1767463567.7573953, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
135.0,2059,2.09453
65.0,1193,2.37553
50.0,1417,2.71353
140.0,1979,3.14053
225.0,2353,3.64353
365.0,3437,4.369759
90.0,1817,4.759771
210.0,2067,5.20232
135.0,1961,5.62232
135.0,2019,6.07532
65.0,1543,6.411774
80.0,1783,6.803775
15.0,1205,7.066773
50.0,1891,7.480773
105.0,1563,7.818773
60.0,1541,8.151773
20.0,1241,8.438774
590.0,3727,9.224751
485.0,2663,9.793751
110.0,1547,10.128064
55.0,1187,10.385062
125.0,2723,13.185557
230.0,3487,16.909268
75.0,2785,19.934018
20.0,1861,21.93184
120.0,2403,24.505173
225.0,3437,28.236626
50.0,1177,29.508626
115.0,2845,32.634826
215.0,2517,35.389815
270.0,2677,38.278305
400.0,2497,40.946696
220.0,2443,43.586522
150.0,2765,46.600485
110.0,2037,48.764687
460.0,4287,53.422316
310.0,4227,58.078555
70.0,1635,59.949364
350.0,2103,62.269434
215.0,1923,64.37312
125.0,1997,66.527035
125.0,2021,68.766585
55.0,1047,69.918504
125.0,2343,72.510749
155.0,3245,76.052961
325.0,3394,83.191922
140.0,1791,85.13309
510.0,3467,88.929615
5.0,1479,90.497628
75.0,1847,92.516228
0.0,1093,93.672832
170.0,2169,96.044257
110.0,1961,98.333268
215.0,2501,101.091652
30.0,1011,102.171362
300.0,3287,105.634302
265.0,2725,108.587282
245.0,2773,111.631087
115.0,1525,113.300398
335.0,2467,116.012769
105.0,2045,118.243739
45.0,1237,119.56113
210.0,1699,121.372128
410.0,3251,124.907663
50.0,1251,126.220693
45.0,1491,127.856693
20.0,1115,129.035745
105.0,1877,131.065604
125.0,1587,132.767641
170.0,2121,135.077219
205.0,2559,137.860323
75.0,1179,139.108782
135.0,2061,141.361856
495.0,3229,144.884742
75.0,1773,146.784874
165.0,1731,148.644119
140.0,1835,150.652365
110.0,1897,152.708058
155.0,1613,154.470513
160.0,3311,158.092052
75.0,1599,159.823611
410.0,2499,162.493603
145.0,2049,164.686311
285.0,2159,167.030214
105.0,1767,168.93119
275.0,3009,172.201016
335.0,3001,175.47094
345.0,4255,180.066357
145.0,2435,182.721342
145.0,1865,184.843054
225.0,2439,187.506712
255.0,2729,190.470114
460.0,4429,201.44251
545.0,3685,205.450578
300.0,3493,209.249108
350.0,2891,212.382652
185.0,2119,214.652608
170.0,3033,217.947757
110.0,1925,220.102384
90.0,1959,222.245182
280.0,3365,225.983786
280.0,2923,229.280181
135.0,2043,231.609697
190.0,2437,234.423433
135.0,2427,237.21503
250.0,3099,240.659832
255.0,2365,243.275042
405.0,3085,246.785776
200.0,2897,250.030489
220.0,3399,253.838873
115.0,1651,255.639775
105.0,1739,257.544247
235.0,3255,261.143114
200.0,3137,264.584863
190.0,2553,267.349533
305.0,2171,269.720662
135.0,2131,272.023073
105.0,1503,273.671076
310.0,2641,276.570535
90.0,1107,277.742672
190.0,2159,280.109902
70.0,1079,281.288112
75.0,1405,282.792036
110.0,2537,285.551356
220.0,2537,288.358245
205.0,2313,290.856103
160.0,1851,292.859059
100.0,2047,295.062478
10.0,1063,296.241939
205.0,2533,299.012052
290.0,3153,302.493036
310.0,3100,305.941972
185.0,2541,308.694231
75.0,1071,309.847199
300.0,3209,318.970059
170.0,3325,322.535099
460.0,4037,327.036665
140.0,2547,330.372667
210.0,1753,332.591845
125.0,1923,334.878663
230.0,2567,338.024902
115.0,2041,340.459817
90.0,2007,342.849258
60.0,1813,346.531919
475.0,2935,349.947301
375.0,3893,354.402065
450.0,3137,357.968904
335.0,3701,362.207699
295.0,3533,366.223522
160.0,2031,368.62155
240.0,3621,372.857027
100.0,1845,374.952293
160.0,2455,377.754318
185.0,1905,379.930093
350.0,3119,383.628056
165.0,2791,386.822286
210.0,2057,389.206257
215.0,2731,392.243431
45.0,1139,393.485027
315.0,2893,396.636318
235.0,3065,400.067249
170.0,2743,403.174313
620.0,4663,408.437715
490.0,3139,411.973533
155.0,2017,414.245996
235.0,2213,416.749305
100.0,1829,419.204941
330.0,4065,424.049564
105.0,1549,425.820515
235.0,2655,428.838076
445.0,2401,431.404223
